what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1365580640037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365580645258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365580656556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1365580656587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1365580656587
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365580672555
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365580673293
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1365580673605
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1365580677610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365580696659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365580782120
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365580782182
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1365580803267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365580804142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365580848767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365580849593
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1365580873247
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1365580873262
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1365580873360
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1365580873360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365580875454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365580897777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1365580897808
